d83d8e85-c973-43f1-8010-e8f36dc62725,bb3bf4f1-c80b-43b9-93a6-263313c59141,f48c2a4a-3151-4163-b625-b93c6c227f62,35292a8f-2c31-428e-b12b-ecb42e41f30c,c318426a-e0cf-4c00-830e-9470f81507bb,36715673-fabf-4b26-bcb3-54efccbcf6ca,1f550d2e-d956-4855-8f6c-850193633ba2,f70f21e0-e825-4f34-a3a0-3417ba47b289,0a44a70a-025f-4b95-b067-1905cd773228,f3e926b6-9054-43e5-b214-72715fea5476,7e5f790a-2539-4f59-b04d-75858ff1caa0,0e52365f-0968-4865-98c8-5a391db72fe1,729982cd-0e35-4f56-90dd-aa3ce52c45a4,7c329b17-a9b9-429d-87d6-8d696bb1a0f1,a791e0a0-108f-4ea5-ac55-ffbc9ef41f04,03d16ff5-015b-4c1f-89e1-fb9e8f3c323e,41dd9f25-8df0-46e6-9f29-cceef9210ae8,f8a27cd2-f746-4301-a112-59d13e40d78d,dd740279-a043-472e-9440-1247838bdebd,93c3190c-58c6-4fa6-b31d-e972f017b622,e7668a0e-eeeb-49fe-b68d-e4673ff0492f,17a128c0-8bb3-42fe-8fa8-e9b6c9857c61,88a913cc-2e7a-402c-8f68-e04d9aea2bfe,922e17af-4f99-4a08-92d5-c8797f685f91,da106b8e-74c8-48ae-9585-c42116b2ba37,37274c8e-ef2a-4273-be16-1568ef1010d8,2f6014cb-8ffd-48ef-8c06-e2f22e8f09fb,8cd22776-3059-4312-be9f-414a4cc9a5d4,06a4bb43-86fe-4d0d-b323-df7f797ddedf,75657b05-6269-49ed-9dde-0685e47cd2e8,d7a052b3-0fd2-4248-aceb-14699019a4a4,fa38e540-d001-49d9-b3f1-d1a707fc1579,297cff0e-3751-4d1e-8c51-b492f8bae160,4478951e-a465-46c5-913d-bcea7a66cb2a,be6b6705-67ab-46ec-a6e5-80adf6c48c0a,821df950-1005-42a1-bb71-94e21d06f843,f0b3db32-813a-495e-9ca0-dde8056737c8,94e29b50-ba90-424a-98b8-c2dc37ad1d28,620be5d0-583e-43e9-b3de-0b70c7cf5176,953b161f-1acf-4fc3-a393-bdce6b3c5153,b80aad76-63a0-4cbf-802e-5e89b172c4f9,1bd0cfbf-ead3-4e72-b15b-e4980f9b59db,dc1f4078-c6b5-4ccb-a537-4da64d413107,cff5961c-e380-4d30-9a4d-0bfdf353115f,5a6d7588-d7ab-4a8a-be29-d0e69477a2d9,51ff4529-089d-43c6-90c4-e6bdcb13b9fe,dc5451c6-9cf1-4680-bb77-8c264cd2f1ec,50e1157d-9579-4ef9-b50e-099cefad7e0f,2810bb86-71f1-4ece-94e6-b7427b2274ef,feb23d72-7ec3-4505-84ec-987e02009258,65c47774-d0bf-4ce9-ba77-1b1304459dc7
CS Atrium - More than 40 ft,255,255,0,CS Atrium - More than 40 ft_2021WABuilding Code,CS Atrium - More than 40 ft_2021WABuilding CodeScheduleSet,,,,,,,,,,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Public spaces_Corridors other than Group RVent,,,,,,,6.4584,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Atrium - Above 40 feet in heightLightingDef,NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2015DOE_PrototypeSpace Function_Atrium - H > 13mInfil,Always On,,0.36,0,MediumSmooth,0.1294,3.01,886,1270,0.9,0.7,0.7,Atrium-Over40ft-Composite,CalculatedEstimateGlueLamOrSteelBeams_MinimalAdditionalAtrium-Over40ft-CompositeInternalMassDef
CS Banking Activity Area,204,255,229,CS Banking Activity Area_2021WABuilding Code,CS Banking Activity Area_2021WABuilding CodeScheduleSet,0.430556602,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Public spaces_Museums/galleries COMNET-REV9PeopleDef,NECB-A-Occupancy,CS Banking Activity AreaActivity,0.003539405,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Public spaces_Museums/galleries Vent,18.51492664,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Banking Activity AreaElectricalEquipDef,NECB-A-Electric-Equipment,6.56604,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Banking activity areaLightingDef,NECB-A-Lighting,,,,,,,2.32E-05,PNNL-NECB 2016DOE_PrototypeSpace Function_Bank - banking and officesInfil,Always On,,1.17,,MediumRough,0.015,15.8,5258,856,0.9,0.7,0.7,BankingActivity_InternalMasses,CalculatedEstimateCustomerServiceBankingActivity_InternalMassesInternalMassDef
CS Classroom/Lecture/Training - Penitentiary,204,120,230,CS Classroom/Lecture/Training - Penitentiary_2021WABuilding Code,CS Classroom/Lecture/Training - Penitentiary_2021WABuilding CodeScheduleSet,0.699654478,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Education_Lecture classroom COMNET-REV9PeopleDef,NECB-D-Occupancy,CS Classroom/Lecture/Training - PenitentiaryActivity,0.003539405,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Education_Lecture classroom Vent,6.34138284,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Classroom/Lecture/Training - PenitentiaryElectricalEquipDef,NECB-D-Electric-Equipment,9.57996,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Classroom/lecture hall/training room - In a penitentiaryLightingDef,NECB-D-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Classroom/lecture/trainingInfil,Always On,,1.55,0,Smooth,0.0022,45,7850,460,0.9,0.7,0.7,Steel_Security_InternalMasses,CalculatedEstimateInstitutional_Fixtures_FurnitureSteel_Security_InternalMassesInternalMassDef
CS Classroom/Lecture/Training - K-12 - laboratory and shops,204,120,230,CS Classroom/Lecture/Training - K-12 - laboratory and shops_2021WABuilding Code,CS Classroom/Lecture/Training - K-12 - laboratory and shops_2021WABuilding CodeScheduleSet,0.699654478,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Education_Lecture classroom COMNET-REV9PeopleDef,SchoolSecondary BLDG_OCC_SCH_Gym,CS Classroom/Lecture/Training - K-12 - laboratory and shopsActivity,0.003539405,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Education_Lecture classroom Vent,6.34138284,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Classroom/Lecture/Training - K-12 - laboratory and shopsElectricalEquipDef,SchoolSecondary BLDG_EQUIP_SCH,11.94804,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Laboratory - In or as a classroomsLightingDef,SchoolSecondary BLDG_LIGHT_GYM_SCH,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeSecondarySchool_ClassroomInfil,Always On,,2.1,0,MediumRough,0.0054,21.5,4070,973,0.9,0.7,0.65,Wood_Steel_InternalMasses,CalculatedEstimateHeavy_Furniture_EquipmentWood_Steel_InternalMassesInternalMassDef
CS Classroom/Lecture/Training - Other,204,120,230,CS Classroom/Lecture/Training - Other_2021WABuilding Code,CS Classroom/Lecture/Training - Other_2021WABuilding CodeScheduleSet,0.699654478,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Education_Lecture classroom COMNET-REV9BA School/UniversityPeopleDef,NECB-D-Occupancy,CS Classroom/Lecture/Training - OtherActivity,0.003539405,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Education_Lecture classroom Vent,6.34138284,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Classroom/Lecture/Training - OtherElectricalEquipDef,NECB-D-Electric-Equipment,7.64244,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Classroom/lecture hall/training room - OtherwiseLightingDef,NECB-D-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Classroom/lecture/trainingInfil,Always On,,1.45,0,MediumRough,0.004,7.17,1856,1140,0.9,0.7,0.65,Wood_Composite_InternalMasses,CalculatedEstimateSimple_Fixtures_Furniture_EquipWood_Composite_InternalMassesInternalMassDef
CS Conference/Meeting/Multipurpose,230,196,120,CS Conference/Meeting/Multipurpose_2021WABuilding Code,CS Conference/Meeting/Multipurpose_2021WABuilding CodeScheduleSet,0.538195753,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Office_Conference roomsCOMNET-REV9BA OfficePeopleDef,OfficeMedium BLDG_OCC_SCH,CS Conference/Meeting/MultipurposeActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Office_Conference roomsVent,7.892630426,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Conference/Meeting/MultipurposeElectricalEquipDef,OfficeMedium BLDG_EQUIP_SCH,10.44108,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Conference/meeting/multipurposeLightingDef,OfficeMedium BLDG_LIGHT_SCH_2013,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Conf./meet./multi-purposeInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Confinment Cells,192,192,192,CS Confinment Cells_2021WABuilding Code,CS Confinment Cells_2021WABuilding CodeScheduleSet,0.269097876,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Correctional facilities_Cells With plumbing fixturesCOMNET-REV9BA OfficePeopleDef,NECB-H-Occupancy,CS Confinment CellsActivity,0.002359604,5.66E-05,,Washington State Mechanical Code TABLE 403.3.1.1Correctional facilities_Cells With plumbing fixturesVent,16.06884651,0,0.5,0,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Confinment CellsElectricalEquipDef,NECB-H-Electric-Equipment,7.5348,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Confinement cellLightingDef,NECB-H-Lighting,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeOffice_ConferenceInfil,OfficeMedium INFIL_SCH_PNNL,,,,,,,,,,,,,InternalMassDef
CS Copy/Print Room,41,31,169,CS Copy/Print Room_2021WABuilding Code,CS Copy/Print Room_2021WABuilding CodeScheduleSet,0.04305566,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Workrooms_Copy_printing rooms COMNET-REV9BA OfficePeopleDef,OfficeMedium BLDG_OCC_SCH,CS Copy/Print RoomActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Workrooms_Copy_printing rooms Vent,17.99869304,0,0.5,0,COMNET-REV9BA OfficeWholeBuildingCS Copy/Print RoomElectricalEquipDef,OfficeMedium BLDG_EQUIP_SCH,3.33684,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Copy/print roomLightingDef,OfficeMedium BLDG_LIGHT_SCH_2013,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeOffice_PrintRoomInfil,OfficeMedium INFIL_SCH_PNNL,,,,,,,,,,,,,InternalMassDef
CS Corridor - Assisted Living,169,31,31,CS Corridor - Assisted Living_2021WABuilding Code,CS Corridor - Assisted Living_2021WABuilding CodeScheduleSet,,,,,,,,,,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Public spaces_Corridors serving Group R Vent,15.1196451,0,0.5,0,COMNET-REV9DOEPrototypeCS Corridor - Assisted LivingElectricalEquipDef,OfficeMedium BLDG_EQUIP_SCH,7.64244,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Corridor - In a facility for the visually impaired (and not used primarily by the staff)LightingDef,OfficeMedium BLDG_LIGHT_SCH_2013,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeMidriseApartment_CorridorInfil,ApartmentMidRise INF_APT_SCH,,,,,,,,,,,,,InternalMassDef
CS Corridor - Hospital,169,31,31,CS Corridor - Hospital_2021WABuilding Code,CS Corridor - Hospital_2021WABuilding CodeScheduleSet,,,,,,,,,,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Public spaces_Corridors other than Group RVent,13.44237587,0,0.5,0,COMNET-REV9DOEPrototypeCS Corridor - HospitalElectricalEquipDef,Hospital BLDG_EQUIP_SCH,7.64244,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Corridor - In a hospitalLightingDef,Hospital BLDG_LIGHT_CORRIDOR_SCH,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeHospital_CorridorInfil,Hospital INFIL_SCH_PNNL,,,,,,,,,,,,,InternalMassDef
CS Corridor - Manufacturing,169,31,31,CS Corridor - Manufacturing_2021WABuilding Code,CS Corridor - Manufacturing_2021WABuilding CodeScheduleSet,0.075272133,424.9706917,97,120,0.4,COMNET-REV9CS Corridor - ManufacturingPeopleDef,NECB-A-Occupancy,CS Corridor - ManufacturingActivity,,0.000117987,,COMNET-REV9CS Corridor - ManufacturingVent,3.711587445,0,0.5,0,COMNET-REV9DOEPrototypeCS Corridor - ManufacturingElectricalEquipDef,NECB-A-Electric-Equipment,4.41324,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Corridor - In a manufacturing facilityLightingDef,NECB-A-Lighting,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeOffice_CorridorInfil,OfficeMedium INFIL_SCH_PNNL,,,,,,,,,,,,,InternalMassDef
CS Corridor - Other,169,31,31,CS Corridor - Other_2021WABuilding Code,CS Corridor - Other_2021WABuilding CodeScheduleSet,,,,,,,,,,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Public spaces_Corridors other than Group RVent,3.2292,0,0.5,0,COMNET-REV9BA WarehouseWholeBuildingCS Corridor - OtherElectricalEquipDef,SchoolSecondary BLDG_EQUIP_SCH,4.41324,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Corridor - OtherwiseLightingDef,SchoolSecondary BLDG_LIGHT_CORRIDOR_SCH,,,,,,,9.08E-06,PNNL-90.1-2013DOE_PrototypeLargeHotel_CorridorInfil,HotelLarge INFIL_QUARTER_ON_SCH,,,,,,,,,,,,,InternalMassDef
CS Courtroom,153,76,0,CS Courtroom_2021WABuilding Code,CS Courtroom_2021WABuilding CodeScheduleSet,0.753474054,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Public spaces_CourtroomsCOMNET-REV9PeopleDef,NECB-A-Occupancy,CS CourtroomActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Public spaces_CourtroomsVent,16.06884651,0,0.5,0,COMNET-REV9DOEPrototypeCS CourtroomElectricalEquipDef,NECB-A-Electric-Equipment,12.9168,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2CourtroomLightingDef,NECB-A-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Courthouse - courtroomInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Computer Room,41,31,169,CS Computer Room_2021WABuilding Code,CS Computer Room_2021WABuilding CodeScheduleSet,0.04305566,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Workrooms_Computer without printingCOMNET-REV9BA OfficePeopleDef,OfficeMedium BLDG_OCC_SCH,CS Computer RoomActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Workrooms_Computer without printingVent,645.84,0,0.5,0,EstimateDOEPrototypeCS Computer RoomElectricalEquipDef,OfficeMedium BLDG_EQUIP_SCH,10.11816,0.37,0.2,"Washington State Energy Code Commercial TABLE C405.4.2Computer room, data centerLightingDef",OfficeMedium BLDG_LIGHT_SCH_2013,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeOffice_IT_RoomInfil,OfficeMedium INFIL_SCH_PNNL,,,,,,,,,,,,,InternalMassDef
CS Dining Area - Penitentiary,31,169,34,CS Dining Area - Penitentiary_2021WABuilding Code,CS Dining Area - Penitentiary_2021WABuilding CodeScheduleSet,0.753474054,161.1957796,97,120,0.5,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Dining roomsCOMNET-REV9PeopleDef,NECB-B-Occupancy,CS Dining Area - PenitentiaryActivity,0.003539405,8.50E-05,,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Dining roomsVent,13.5948959,0,0.5,0,COMNET-REV9DOEPrototypeCS Dining Area - PenitentiaryElectricalEquipDef,NECB-B-Electric-Equipment,4.52088,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Dining area - In a penitentiaryLightingDef,NECB-B-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Penitentiary - diningInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Dining Area - Assisted Living,31,169,34,CS Dining Area - Assisted Living_2021WABuilding Code,CS Dining Area - Assisted Living_2021WABuilding CodeScheduleSet,0.753474054,161.1957796,97,120,0.5,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Dining roomsCOMNET-REV9PeopleDef,NECB-B-Occupancy,CS Dining Area - Assisted LivingActivity,0.003539405,8.50E-05,,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Dining roomsVent,14.16604173,0,0.5,0,COMNET-REV9DOEPrototypeCS Dining Area - Assisted LivingElectricalEquipDef,NECB-B-Electric-Equipment,13.67028,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Dining area - In a facility for the visually impaired (and not used primarily by the staff)LightingDef,NECB-B-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeDining - family_WholeBuildingInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Dining Area - Bar Lounge/Leisure   ,31,169,34,CS Dining Area - Bar Lounge/Leisure   _2021WABuilding Code,CS Dining Area - Bar Lounge/Leisure   _2021WABuilding CodeScheduleSet,1.076391505,161.1957796,97,120,0.5,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Bars_cocktail loungesCOMNET-REV9PeopleDef,NECB-B-Occupancy,CS Dining Area - Bar Lounge/Leisure   Activity,0.003539405,8.50E-05,,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Bars_cocktail loungesVent,13.5948959,0.25,0.3,0,COMNET-REV9DOEPrototypeCS Dining Area - Bar Lounge/Leisure   ElectricalEquipDef,NECB-B-Electric-Equipment,9.25704,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Dining area - In a bar/lounge or leisure diningLightingDef,NECB-B-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Dining - bar lounge/leisureInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Dining Area - Cafeteria or Fast Food ,31,169,34,CS Dining Area - Cafeteria or Fast Food _2021WABuilding Code,CS Dining Area - Cafeteria or Fast Food _2021WABuilding CodeScheduleSet,1.076391505,161.1957796,97,120,0.5,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Cafeteria_fast food COMNET-REV9PeopleDef,RestaurantFastFood BLDG_OCC_SCH,CS Dining Area - Cafeteria or Fast Food Activity,0.003539405,8.50E-05,,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Cafeteria_fast food Vent,14.72897307,0.25,0.3,0,COMNET-REV9DOEPrototypeCS Dining Area - Cafeteria or Fast Food ElectricalEquipDef,RestaurantFastFood BLDG_EQUIP_SCH,4.3056,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Dining area - In cafeteria or fast food diningLightingDef,RestaurantFastFood BLDG_LIGHT_DINING_SCH_2013,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeDining - cafeteria_WholeBuildingInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Dining Area - Family Dining  ,31,169,34,CS Dining Area - Family Dining  _2021WABuilding Code,CS Dining Area - Family Dining  _2021WABuilding CodeScheduleSet,0.753474054,161.1957796,97,120,0.5,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Dining roomsCOMNET-REV9PeopleDef,NECB-B-Occupancy,CS Dining Area - Family Dining  Activity,0.003539405,8.50E-05,,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Dining roomsVent,14.16604173,0,0.5,0,COMNET-REV9DOEPrototypeCS Dining Area - Family Dining  ElectricalEquipDef,NECB-B-Electric-Equipment,6.4584,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Dining area - In a family dining areaLightingDef,NECB-B-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeDining - family_WholeBuildingInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Dining Area - Other,31,169,34,CS Dining Area - Other_2021WABuilding Code,CS Dining Area - Other_2021WABuilding CodeScheduleSet,0.753474054,161.1957796,97,120,0.5,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Dining roomsCOMNET-REV9PeopleDef,NECB-B-Occupancy,CS Dining Area - OtherActivity,0.003539405,8.50E-05,,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Dining roomsVent,14.16604173,0,0.5,0,COMNET-REV9DOEPrototypeCS Dining Area - OtherElectricalEquipDef,NECB-B-Electric-Equipment,4.62852,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Dining area - OtherwiseLightingDef,NECB-B-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Dining - otherInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Electrical/Mechanical,41,31,175,CS Electrical/Mechanical_2021WABuilding Code,CS Electrical/Mechanical_2021WABuilding CodeScheduleSet,,,,,,,,,,5.66E-05,,"Washington State Mechanical Code TABLE 403.3.1.1Retail stores, sales floors, and showroom floors - Storage roomsVent",17.99869304,0,0.5,0,COMNET-REV9BA OfficeWholeBuildingCS Electrical/MechanicalElectricalEquipDef,OfficeMedium BLDG_EQUIP_SCH,4.62852,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Electrical/mechanicalLightingDef,OfficeMedium BLDG_LIGHT_SCH_2013,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Electrical/MechanicalInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Emergency Vehicle Garage,153,0,76,CS Emergency Vehicle Garage_2021WABuilding Code,CS Emergency Vehicle Garage_2021WABuilding CodeScheduleSet,,,,,,,,,,,,Washington State Mechanical Code TABLE 403.3.1.1Storage_Repair garages_enclosed parking garageVent,6.200931511,0,0.5,0,COMNET-REV9DOEPrototypeCS Emergency Vehicle GarageElectricalEquipDef,NECB-H-Electric-Equipment,5.59728,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Emergency vehicle garageLightingDef,NECB-H-Lighting,,,,,,,9.44E-05,EstimateSpace Function_Parking garage spaceInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Food Preparation - Gas Cooking,255,178,102,CS Food Preparation - Gas Cooking_2021WABuilding Code,CS Food Preparation - Gas Cooking_2021WABuilding CodeScheduleSet,1.858045336,161.1957796,97,120,0.5,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Kitchens (cooking)ASHRAEHB2025FundCh18tbl4Sendentary work_RestaurantPeopleDef,NECB-B-Occupancy,CS Food Preparation - Gas CookingActivity,0.003539405,5.66E-05,,Washington State Mechanical Code TABLE 403.3.1.1Food and beverage service_Kitchens (cooking)Vent,14.16604173,0.25,0.3,0.2,COMNET-REV9DOEPrototypeCS Food Preparation - Gas CookingElectricalEquipDef,NECB-B-Electric-Equipment,11.73276,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Food preparationLightingDef,NECB-B-Lighting,377.49348,0.1,0.2,0.7,COMNET-REV9California Commercial End-Use Survey (CEUS)DOEPrototypeCS Food Preparation - Gas CookingGasEquipDef,RestaurantFastFood FF_GAS_EQUIP_SCH,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Food preparationInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Guest Room,78,167,222,CS Guest Room_2021WABuilding Code,CS Guest Room_2021WABuilding CodeScheduleSet,0.929022668,131.887456,97,120,0.555555556,"Washington State Mechanical Code TABLE 403.3.1.1Hotels,_motels_resorts_dormitories_Bedroom/living room COMNET-REV9PeopleDef",HotelLarge GuestRoom_Occ_Sch,CS Guest RoomActivity,0.002359604,2.83E-05,,"Washington State Mechanical Code TABLE 403.3.1.1Hotels,_motels_resorts_dormitories_Bedroom/living room Vent",16.83628263,0,0.5,0,COMNET-REV9DOEPrototypeCS Guest RoomElectricalEquipDef,HotelLarge GuestRoom_Eqp_Sch_Adva,4.41324,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Guest roomLightingDef,HotelLarge BLDG_LIGHT_GUESTROOM_SCH_2010,,,,,,,5.29E-05,PNNL-90.1-2013DOE_PrototypeLargeHotel_GuestRoomInfil,HotelLarge INFIL_QUARTER_ON_SCH,,,,,,,,,,,,,InternalMassDef
CS Judges Chambers,153,153,0,CS Judges Chambers_2021WABuilding Code,CS Judges Chambers_2021WABuilding CodeScheduleSet,0.464511334,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Office_Office spacesCOMNET-REV9PeopleDef,NECB-A-Occupancy,CS Judges ChambersActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Office_Office spacesVent,16.06884651,0,0.5,0,COMNET-REV9DOEPrototypeCS Judges ChambersElectricalEquipDef,NECB-A-Electric-Equipment,7.96536,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Office - Enclosed <= 250LightingDef,NECB-A-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Courthouse - chambersInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Laboratory - Classrooms  ,224,224,224,CS Laboratory - Classrooms  _2021WABuilding Code,CS Laboratory - Classrooms  _2021WABuilding CodeScheduleSet,2.32255667,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Education - Science laboratoriesCOMNET-REV9BA School/UniversityPeopleDef,NECB-D-Occupancy,CS Laboratory - Classrooms  Activity,0.004719207,8.50E-05,,Washington State Mechanical Code TABLE 403.3.1.1Education - Science laboratoriesVent,35.96833594,0.2,0.5,0.1,COMNET-REV9EstimateCS Laboratory - Classrooms  ElectricalEquipDef,NECB-D-Electric-Equipment,11.94804,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Laboratory - In or as a classroomsLightingDef,NECB-D-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Lab - classroomsInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Laboratory - Other,224,224,224,CS Laboratory - Other_2021WABuilding Code,CS Laboratory - Other_2021WABuilding CodeScheduleSet,2.32255667,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Education - Science laboratoriesCOMNET-REV9BA School/UniversityPeopleDef,NECB-A-Occupancy,CS Laboratory - OtherActivity,0.004719207,8.50E-05,,Washington State Mechanical Code TABLE 403.3.1.1Education - Science laboratoriesVent,35.96833594,0.2,0.5,0.1,COMNET-REV9EstimateCS Laboratory - OtherElectricalEquipDef,NECB-A-Electric-Equipment,14.31612,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Laboratory - OtherwiseLightingDef,NECB-A-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Lab - researchInfil,Always On,,,,,,,,,,,,,InternalMassDef
